error_type,query,module,offending_string,matched_token,category,is_dead
SA blocklist,barfi movie,alsoTrySouth,barfi movie torrent download,torrent,illegal_activities,no
SA blocklist,laura vandervoort,gossip,laura vandervoort supergirl bikini,bikini,sexual_or_explicit,no
SA blocklist,laura vandervoort,alsoTrySouth,laura vandervoort supergirl bikini,bikini,sexual_or_explicit,no
SA blocklist,laura vandervoort,alsoTryEast,laura vandervoort supergirl bikini,bikini,sexual_or_explicit,no
SA blocklist,owen wilson,gossip,owen wilson suicide attempt,suicide,violence_trauma_or_extremism,no
SA blocklist,owen wilson,alsoTrySouth,owen wilson suicide attempt,suicide,violence_trauma_or_extremism,no
SA blocklist,owen wilson,alsoTryEast,owen wilson suicide attempt,suicide,violence_trauma_or_extremism,no
SA blocklist,cosby star dies,gossip,cosby star dies suicide,suicide,violence_trauma_or_extremism,no
SA blocklist,cosby star dies,alsoTrySouth,cosby star dies suicide,suicide,violence_trauma_or_extremism,no
SA blocklist,tulsi gabbard,peopleAlsoAsk,Was Tulsi Gabbard a 'treasonous conspiracy'?,conspiracy,conspiracy_or_extreme_beliefs,no
SA blocklist,freddie prinze jr.,gossip,freddie prinze jr. dad suicide,suicide,violence_trauma_or_extremism,no
SA blocklist,dafne keen,gossip,dafne keen bikini pictures images,bikini,sexual_or_explicit,no
SA blocklist,dafne keen,alsoTrySouth,dafne keen bikini pictures images,bikini,sexual_or_explicit,no
SA blocklist,dafne keen,alsoTryEast,dafne keen bikini pictures images,bikini,sexual_or_explicit,no
SA blocklist,home improvement cast,gossip,home improvement cast member commits suicide,suicide,violence_trauma_or_extremism,no
SA blocklist,home improvement cast,alsoTrySouth,home improvement cast member commits suicide,suicide,violence_trauma_or_extremism,no
SA blocklist,home improvement cast,alsoTryEast,home improvement cast member commits suicide,suicide,violence_trauma_or_extremism,no
SA blocklist,cambodia,gossip,Cambodian genocide,genocide,conspiracy_or_extreme_beliefs,no
SA blocklist,cambodia,alsoTrySouth,cambodian genocide,genocide,conspiracy_or_extreme_beliefs,no
SA blocklist,thiago seyboth wild,alsoTrySouth,thiago seyboth wild nazi,nazi,conspiracy_or_extreme_beliefs,no
SA blocklist,emmanuel macron,peopleAlsoAsk,Did a lie cause damage to the macrons?,lie,conspiracy_or_extreme_beliefs,no
SA blocklist,alessandra ambrosio victoria's secret,gossip,alessandra ambrosio victoria's secret bikini models 2021,bikini,sexual_or_explicit,no
SA blocklist,alessandra ambrosio victoria's secret,alsoTryEast,alessandra ambrosio victoria's secret bikini models 2021,bikini,sexual_or_explicit,no
SA blocklist,south park trump,gossip,south park trump assassination,assassination,violence_trauma_or_extremism,no
SA blocklist,south park trump,alsoTrySouth,south park trump assassination,assassination,violence_trauma_or_extremism,no
SA blocklist,south park trump,alsoTryEast,south park trump assassination,assassination,violence_trauma_or_extremism,no
SA blocklist,kristin cabot husband,gossip,kristin cabot husband dies suicide,suicide,violence_trauma_or_extremism,no
SA blocklist,kristin cabot husband,alsoTrySouth,kristin cabot husband dies suicide,suicide,violence_trauma_or_extremism,no
SA blocklist,kristin cabot husband,alsoTryEast,kristin cabot husband dies suicide,suicide,violence_trauma_or_extremism,no
SA blocklist,trump,gossip,trump assassination attempt,assassination,violence_trauma_or_extremism,no
SA blocklist,son ye-jin,gossip,son ye-jin bikini images,bikini,sexual_or_explicit,no
SA blocklist,son ye-jin,alsoTryEast,son ye-jin bikini images,bikini,sexual_or_explicit,no
death check,george kooymans,context,"The term ""george kooymans"" is likely trending because the Golden Earring guitarist has died at age 77.",death_pattern,recent_death,yes
death check,kenneth washington,context,"Kenneth Washington is trending because he, the last surviving main cast member of ""Hogan’s Heroes,"" has died at age 88 or 89.",death_pattern,recent_death,yes
relevance,baracuda championship,peopleAlsoAsk,What is the Barracuda Club?,llm_irrelevant,off_topic,no
relevance,circle usdc stock,peopleAlsoAsk,What happened to CrCL stock after IPO?,llm_irrelevant,off_topic,no
relevance,the rite (2011 film),peopleAlsoAsk,Is 'the rite' a virus?,llm_irrelevant,off_topic,no
relevance,watch the green berets online,peopleAlsoAsk,How do I know if 'grey berets' is streaming for free?,llm_irrelevant,off_topic,no
relevance,best fantasy football rankings,peopleAlsoAsk,Is JavaScript used in fantasy football?,llm_irrelevant,off_topic,no
relevance,787 crash,peopleAlsoAsk,What happened to AI 171?,llm_irrelevant,off_topic,no
relevance,miami heat,peopleAlsoAsk,Will Miami Valley residents stay cool during a heatwave?,llm_irrelevant,off_topic,no
relevance,miami heat,peopleAlsoAsk,What time is a heat advisory issued in Miami Valley?,llm_irrelevant,off_topic,no
relevance,news today,peopleAlsoAsk,Is the information provided on this website personal financial advice?,llm_irrelevant,off_topic,no
relevance,news today,peopleAlsoAsk,Will we lose a third of our stores if this trend continues?,llm_irrelevant,off_topic,no
relevance,news today,peopleAlsoAsk,Why do we do the work that we do?,llm_irrelevant,off_topic,no
relevance,robert klein,peopleAlsoAsk,Who is Ron Klein?,llm_irrelevant,off_topic,no
relevance,kristin cabot,peopleAlsoAsk,Who is Andrew Cabot?,llm_irrelevant,off_topic,no
relevance,2025 open championship tv schedule,peopleAlsoAsk,Where will the USBC Open Championships take place in 2025?,llm_irrelevant,off_topic,no
relevance,scandal cast,peopleAlsoAsk,Who starred in Locke & Key after scandal?,llm_irrelevant,off_topic,no
relevance,sharon osbourne weight loss,peopleAlsoAsk,Why is Kelly Osbourne worried about her mother's wedding?,llm_irrelevant,off_topic,no
